#,What is your research role?,Please fill in your research role [anonymized],"What is the country of your current (or last) affiliation? [anonymized, cleaned]",Physical Sciences,Engineering & Technology,Life Sciences,Medicine,Social Sciences & Economics,Law,Arts & Humanities,From which year dates your first scholarly publication?,Google Scholar,Web of Science,Scopus,Mendeley,WorldCat,PubMed,Paperity,(and also) others,Please specify the other tool(s) that you use for searching literature / data etc. (separated with comma's),Institutional access,Pay per view on publisher platform,ResearchGate,Research4Life,Open Access Button,Deepdyve,E-mail the author,(and also) others2,Please specify the other tool(s)/way(s) that you use to get access to literature (separated with comma's),Google Scholar3,JournalTOCs,Browzine,Mendeley4,F1000 Prime,Sparrho,ResearchGate5,(and also) others6,Please specify the other tool(s) that you use to get alerts / recommendations (separated with comma's),Acrobat Reader,using HTML view,iAnnotate,ReadCube,UtopiaDocs,Mendeley7,Hypothes.is,(and also) others8,Please specify the other tool(s) that you use to read / view / annotate(separated with comma's),R,SPSS,Matlab,Excel,iPython Notebook,ROpenSci,DHbox,(and also) others9,Please specify the other tool(s) that you use to analyze data / texts etc. (separated with comma's),Open Science Framework,myExperiment,BenchLing,Protocols.io,Benchfly,Scientific Protocols,Protocol Online,(and also) others10,Please specify the other tool(s) that you use to share notebooks / protocols / workflows (separated with comma's),Word,Google Drive/Docs,Authorea,LaTeX,Scrivener,Overleaf (=WriteLaTeX),Scalar,(and also) others11,Please specify the other tool(s) that you use to write / prepare your manuscript (separated with comma's),EndNote,Zotero,RefWorks,Mendeley12,Papers,REfME,Citavi,(and also) others13,Please specify the other tool(s) that you use for reference management (separated with comma's),arXiv,PubMed Central,Institutional repository,bioRxiv,I share working papers,ResearchGate14,SSRN,(and also) others15,Please specify the other tool(s) that you use to archive/share publications (separated with comma's),GitHub,Figshare,Zenodo,Dryad,Dataverse,Pangaea,BitBucket,(and also) others16,Please specify the other tool(s) that you use to archive/share data &amp; code (separated with comma's),JCR (impact factors),DOAJ,Scopus17,Sherpa Romeo,QOAM,SCImago Journal Rank,Journalysis,(and also) others18,Please specify the other tool(s) that you use to decide which journal to submit your manuscript to (separated with comma's),Topical journal (traditional publisher),Topical journal (OA publisher),Megajournal (traditional publisher),Megajournal (OA publisher),Data journal,Winnower,F1000Research,(and also) others19,Please specify the other tool(s) that you use to publish (separated with comma's),Speakerdeck,Slideshare,F1000Posters,ScienceOpen Posters,Figshare20,Zenodo21,Vimeo,(and also) others22,Please specify the other tool(s) that you use to archive/share posters &amp; presentations (separated with comma's),Wikipedia,ResearchBlogging.org,Wordpress,Kudos,FameLab,Pint of Science,Twitter,(and also) others23,Please specify the other tool(s) that you use to tell about your research outside academia (separated with comma's),Google Scholar Citations,ResearchGate24,ORCID,Academia.edu,ResearcherID,Profile page at own institution,My Science Work,(and also) others25,Please specify the other researcher profile(s)Â  you use (separated with comma's),Peerage of Science,Publons,PubMed Commons,PubPeer,PaperCritic,RubriQ,Academic Karma,(and also) others26,Please specify the other tool(s) that you use for peer review beyond that organized by journals (please separate with comma's),JCR (impact factor),Altmetric,Scopus27,ImpactStory,PLoS article level metrics,Web of Science28,Harzing Publish or Perish,(and also) others29,Please specify the other tool(s) that you use to measure impact (separated with comma's),Language-specific tools 1,Language-specific tools 2,Language-specific tools 3,Language-specific tools 4,Language-specific tools 5,Language-specific tools 6,Language-specific tools 7,Language-specific tools other,Language-specific tools specify other,What do you think will be the most important development in scholarly communication in the coming years?,Do you support the goal of Open Access?,Do you support the goals of Open Science?,source [cleaned],Language
00339aa1086f733486c640ea68bd8245,PhD student,,Netherlands,,,Life Sciences,Medicine,Social Sciences & Economics,,,2006-2010,Google Scholar,Web of Science,,Mendeley,,PubMed,,,,Institutional access,,,,,,,,,Google Scholar,,,Mendeley,,,ResearchGate,(and also) others,e-mail alert (Pubmed),Acrobat Reader,,,,,Mendeley,,,,,SPSS,,Excel,,,,,,,,,,,,,,,Word,,,,,,,,,,,,Mendeley,,,,,,,,,,,ResearchGate,,,,,,,,,,,,,,,,,,,,,,Topical journal (traditional publisher),,,Megajournal (OA publisher),,,,,,,,,,,,,(and also) others,MS PowerPoint,,,,,,,,(and also) others,Practitioner Networks and Journals,Google Scholar Citations,ResearchGate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mendeley,Yes,Yes,7V4u8a,English
01727171178d349d3e2510a7863d828a,Other,Policy Advisor,Netherlands,,,Life Sciences,,Social Sciences & Economics,Law,,2001-2005,Google Scholar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Yes,7V4u8a,English
01ac4c459b695c3c8eb7d8fa8d216647,Professor / Associate professor / Assistant professor,,Netherlands,,,Life Sciences,,,,,before 1991,,Web of Science,,,,PubMed,,,,Institutional access,,ResearchGate,,,,,(and also) others,Open Access Publications,,,,,,,,(and also) others,e-mail alert (Pubmed),Acrobat Reader,,,,,,,(and also) others,EndNote,,,,,,,,,,,,,,,,,,,Word,,,,,,,,,EndNote,,,,,,,,,,,,,,,,(and also) others,EndNote,,,,,,,,,,,,,,,,,(and also) others,Web of Science,Topical journal (traditional publisher),,,Megajournal (OA publisher),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(and also) others,LinkedIn,,,,,,,,,,,,,,,Web of Science,,,,,,,,,,,,,Open Access,Yes,I don't know,7V4u8a,English
021e5da9444c967324da787873e35ae6,Librarian,,Netherlands,,,Life Sciences,,,,,1991-2000,Google Scholar,Web of Science,Scopus,,,,,,,Institutional access,,ResearchGate,,,,E-mail the author,(and also) others,Google Scholar,Google Scholar,JournalTOCs,Browzine,,,,,(and also) others,e-mail alert (Web of Science),Acrobat Reader,,,,,,,,,,,,Excel,,,,,,,,,,,,,,,Word,Google Drive/Docs,Authorea,,,,,,,EndNote,,,Mendeley,,,,,,,,Institutional repository,,,,,,,,Figshare,,,,,,,,JCR (impact factors),,Scopus,,,SCImago Journal Rank,,,,,Topical journal (OA publisher),,,,,,,,,Slideshare,,,Figshare,,,,,,ResearchBlogging.org,Wordpress,,,,Twitter,,,Google Scholar Citations,ResearchGate,ORCID,Academia.edu,ResearcherID,Profile page at own institution,,(and also) others,ISNI,,,,,,,,,,JCR (impact factor),Altmetric,Scopus,ImpactStory,,Web of Science,Harzing Publish or Perish,,,,,,,,,,,,Open Science,Yes,Yes,7V4u8a,English
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Openaccess Search Engines (eg. Base),,,,,,,,,e-mail alert (Scopus),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VIAF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0274508adf04fe00c6491fa6322d9830,Other,Researcher (Assistant),Netherlands,,,,Medicine,,,Arts & Humanities,I haven't published (yet),Google Scholar,,,,,,,(and also) others,University Library Catalogues (UBVU & Remote),Institutional access,,,,,,,,,Google Scholar,,,,,,,,,Acrobat Reader,,,,,Mendeley,,,,R,SPSS,,Excel,,,,,,,,,,,,,,,Word,,,,,,,,,,,,Mendeley,,,,,,,,,,,,,,,,,,,,,,,,,DOAJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(and also) others,WikiSpaces,,ResearchGate,ORCID,,,,,,,,,,,,,,,,,,,,,Web of Science,,,,,,,,,,,,,,Yes,I don't know,7V4u8a,English
0276ff4cf7bf970116b271e996e2baee,PhD student,,Netherlands,,,Life Sciences,,,,,I haven't published (yet),Google Scholar,,,,,PubMed,,,,Institutional access,,ResearchGate,,Open Access Button,,E-mail the author,,,Google Scholar,,,,,,,,,Acrobat Reader,using HTML view,,ReadCube,,Mendeley,,,,,SPSS,,,,,,,,,,,,,,,,,Word,Google Drive/Docs,,,,,,,,,,,Mendeley,,,,,,,,,,,ResearchGate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ResearchGate,,,,,,,,,,,,,,,,,,,,,,,,(and also) others,ResearchGate profile metrics,,,,,,,,,,More Open Access Journals,Yes,Yes,7V4u8a,English
028eb80e869eb25b820dee0ebe07a2e8,PhD student,,Netherlands,,,Life Sciences,,,,,2011-2016,Google Scholar,,,,,PubMed,,,,Institutional access,,,,,,,,,,,,,,,,,,Acrobat Reader,,,,,Mendeley,,,,,,Matlab,Excel,,,,,,,,,,,,,,,Word,Google Drive/Docs,,,,,,,,,,,Mendeley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Yes,7V4u8a,English
03431e5356b23471490bb928e641981d,PhD student,,Netherlands,,,,Medicine,,,,2011-2016,Google Scholar,,,,,PubMed,,,,Institutional access,,ResearchGate,,,,E-mail the author,,,,,,,,,,,,Acrobat Reader,,,,,,,,,,SPSS,,Excel,,,,(and also) others,MaxQDA,,,,,,,,,,Word,,,,,,,,,EndNote,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Topical journal (traditional publisher),Topical journal (OA publisher),,Megajournal (OA publisher),,,,,,,,,,,,,,,,,,,,,Twitter,,,,ResearchGate,ORCID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Quicker review processes when submitting manuscript,Yes,Yes,7V4u8a,English
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Atlas.ti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Review Manager (RevMan),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0381b443eeff2dbe2ace0e0bf7b098ae,PhD student,,Netherlands,,,,Medicine,,,,I haven't published (yet),,,,,,PubMed,,,,Institutional access,,ResearchGate,,Open Access Button,,,,,,,,,,,,,,Acrobat Reader,,,,,,,,,,SPSS,,,,,,,,,,,,,,,,,Word,,,,,,,,,EndNote,,,,,,,(and also) others,,,PubMed Central,,,,ResearchGate,,,,,,,,,,,,,,,Scopus,,,,,,,Topical journal (traditional publisher),,Megajournal (traditional publisher),Megajournal (OA publisher),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Web of Science,,,,,,,,,,,,,Open Access,I don't know,I don't know,7V4u8a,English
04110a565805714b8cbb8ac0e38f68b7,PhD student,,Netherlands,,,Life Sciences,,,,,2011-2016,Google Scholar,,,,,PubMed,,,,Institutional access,,,,,,,,,Google Scholar,,,,,,ResearchGate,,,Acrobat Reader,,,,,,,,,,SPSS,,Excel,,,,,,Open Science Framework,,,,,,,,,Word,Google Drive/Docs,,,,,,,,EndNote,,,,,,,(and also) others,Reference Manager,,PubMed Central,,,,ResearchGate,,,,,,,,,,,,,,,,,,,,,,Topical journal (traditional publisher),Topical journal (OA publisher),,,,,,,,,,,,,,,,,Wikipedia,,Wordpress,,,,,,,Google Scholar Citations,ResearchGate,,,,,,,,,,,,,,,,,JCR (impact factor),,,,PLoS article level metrics,,,,,,,,,,,,,,,,Yes,7V4u8a,English
